" 

NEW OFFICE IN WATSONVILLE, CA

We are excited to announce that we are opening a new office in the Central Coast! Many small, rural communities of color in this region face similar issues to the San Joaquin Valley, including nitrate contamination of groundwater supplies.","September 17, 2018","['Fresno', 'Watsonville', 'Porterville', 'Sacramento', 'Visalia']","['Sacramento', 'Fresno']",August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
"
The shame continued when residents from affected communities and their supporters assembled on the steps of the State Capitol in Sacramento bearing plastic bottles of contaminated water—nitrates from Tooleville, arsenic from Alpaugh—which they mixed into a “Central Valley blend” as a mock gift to legislators.","May 27, 2016","['Seville', 'Farmersville', 'Tulare', 'Stanford', 'Arnold', 'Porterville', 'Sacramento']","['Sacramento', 'Tulare']",The Flint of California - Community Water Center,https://www.communitywatercenter.org/the_flint_of_california
"”

The two most common hazards in this part of the Central Valley are arsenic, which occurs naturally, and nitrates from fertilizers spread over vast fields and from animal wastes that leach into the groundwater.","May 27, 2016","['Seville', 'Farmersville', 'Tulare', 'Stanford', 'Arnold', 'Porterville', 'Sacramento']","['Sacramento', 'Tulare']",The Flint of California - Community Water Center,https://www.communitywatercenter.org/the_flint_of_california
" Most of the nitrates lurking in drinking water wells today were applied to fields decades ago, so the contamination levels will likely get worse in coming years as the chemicals continue to filter into the groundwater, according to scientists at the University of California at Davis.","May 27, 2016","['Seville', 'Farmersville', 'Tulare', 'Stanford', 'Arnold', 'Porterville', 'Sacramento']","['Sacramento', 'Tulare']",The Flint of California - Community Water Center,https://www.communitywatercenter.org/the_flint_of_california
"
The shame continued when residents from affected communities and their supporters assembled on the steps of the State Capitol in Sacramento bearing plastic bottles of contaminated water—nitrates from Tooleville, arsenic from Alpaugh—which they mixed into a “Central Valley blend” as a mock gift to legislators.","May 27, 2016","['Seville', 'Farmersville', 'Tulare', 'Stanford', 'Arnold', 'Porterville', 'Sacramento']","['Sacramento', 'Tulare']",The Flint of California - Community Water Center,https://www.communitywatercenter.org/the_flint_of_california
"”

The two most common hazards in this part of the Central Valley are arsenic, which occurs naturally, and nitrates from fertilizers spread over vast fields and from animal wastes that leach into the groundwater.","May 27, 2016","['Seville', 'Farmersville', 'Tulare', 'Stanford', 'Arnold', 'Porterville', 'Sacramento']","['Sacramento', 'Tulare']",The Flint of California - Community Water Center,https://www.communitywatercenter.org/the_flint_of_california
" Most of the nitrates lurking in drinking water wells today were applied to fields decades ago, so the contamination levels will likely get worse in coming years as the chemicals continue to filter into the groundwater, according to scientists at the University of California at Davis.","May 27, 2016","['Seville', 'Farmersville', 'Tulare', 'Stanford', 'Arnold', 'Porterville', 'Sacramento']","['Sacramento', 'Tulare']",The Flint of California - Community Water Center,https://www.communitywatercenter.org/the_flint_of_california
"
The shame continued when residents from affected communities and their supporters assembled on the steps of the State Capitol in Sacramento bearing plastic bottles of contaminated water—nitrates from Tooleville, arsenic from Alpaugh—which they mixed into a “Central Valley blend” as a mock gift to legislators.","May 27, 2016","['Seville', 'Farmersville', 'Tulare', 'Stanford', 'Arnold', 'Porterville', 'Sacramento']","['Sacramento', 'Tulare']",The Flint of California - Community Water Center,https://www.communitywatercenter.org/the_flint_of_california
" We conducted community meetings, or ""platicas,"" in Arvin, East Porterville, and Fresno to talk with community partners about nitrate contamination, 1,2,3-TCP's impending Maximum Contaminant Level, and local water pilot projects.","May 09, 2016","['Orosi', 'Fresno']",['Fresno'],Great Accomplishments during National Drinking Water Week 2016!,https://www.communitywatercenter.org/accomplishments_ndww2016
" After 15 years with arsenic contamination, one small Kern County community took the struggle for clean water into its own hands--in a campaign that could serve as a role model for others.","May 05, 2016","['Camino', 'Arvin', 'Lamont', 'Coachella']",['Kern'],"“It looked really dirty” – Now, Arvin Kids Drink Clean Water In Schools - Community Water Center",https://www.communitywatercenter.org/it_looked_really_dirty
"”
More precisely, it was contaminated—with arsenic.","May 05, 2016","['Camino', 'Arvin', 'Lamont', 'Coachella']",['Kern'],"“It looked really dirty” – Now, Arvin Kids Drink Clean Water In Schools - Community Water Center",https://www.communitywatercenter.org/it_looked_really_dirty
"
“Any of the medium sized and large cities, this isn't an issue because you can pay for the infrastructure to take the arsenic out of the water,” he says.","May 05, 2016","['Camino', 'Arvin', 'Lamont', 'Coachella']",['Kern'],"“It looked really dirty” – Now, Arvin Kids Drink Clean Water In Schools - Community Water Center",https://www.communitywatercenter.org/it_looked_really_dirty
" “But if you're in a small community, drilling new wells is hard, and many communities have drilled well upon well and the source water still contains arsenic.","May 05, 2016","['Camino', 'Arvin', 'Lamont', 'Coachella']",['Kern'],"“It looked really dirty” – Now, Arvin Kids Drink Clean Water In Schools - Community Water Center",https://www.communitywatercenter.org/it_looked_really_dirty
" Now, residents just need to wait a little longer for arsenic-free water in their homes.","May 05, 2016","['Camino', 'Arvin', 'Lamont', 'Coachella']",['Kern'],"“It looked really dirty” – Now, Arvin Kids Drink Clean Water In Schools - Community Water Center",https://www.communitywatercenter.org/it_looked_really_dirty
" The city is drilling new wells, and so far, arsenic levels are well within the safe zone.","May 05, 2016","['Camino', 'Arvin', 'Lamont', 'Coachella']",['Kern'],"“It looked really dirty” – Now, Arvin Kids Drink Clean Water In Schools - Community Water Center",https://www.communitywatercenter.org/it_looked_really_dirty
" 
“Bacterial and arsenic violations were the most common types of violations impacting schools, but they were also followed by the pesticide DBCP, disinfectant byproducts, and nitrates,”says lead author Jenny Rempel with the Community Water Center.","May 05, 2016","['Arvin', 'Camino', 'Tulare', 'Likely']","['Tulare', 'Lake']",Unsafe Water in California Public Schools - Community Water Center,https://www.communitywatercenter.org/unsafe_water_in_california_public_schools
"com/admin/sites/1/pages/831/blog_post/edit


A sixth-grader at El Camino Real Elementary School in Arvin uses a water bottle filling station equipped with an industrial water filter, installed because Arvin’s public water is contaminated with arsenic.","May 05, 2016","['Arvin', 'Camino', 'Tulare', 'Likely']","['Tulare', 'Lake']",Unsafe Water in California Public Schools - Community Water Center,https://www.communitywatercenter.org/unsafe_water_in_california_public_schools
" 
Between 2003 and 2014, over 900 schools in the state may have provided water that was contaminated with arsenic or bacteria.","May 05, 2016","['Arvin', 'Camino', 'Tulare', 'Likely']","['Tulare', 'Lake']",Unsafe Water in California Public Schools - Community Water Center,https://www.communitywatercenter.org/unsafe_water_in_california_public_schools
"
""The most frequently occurring violations that we were seeing were bacterial and arsenic violations,"" said Remple.","May 05, 2016","['Arvin', 'Camino', 'Tulare', 'Likely']","['Tulare', 'Lake']",Unsafe Water in California Public Schools - Community Water Center,https://www.communitywatercenter.org/unsafe_water_in_california_public_schools
" 
“Bacterial and arsenic violations were the most common types of violations impacting schools, but they were also followed by the pesticide DBCP, disinfectant byproducts, and nitrates,”says lead author Jenny Rempel with the Community Water Center.","May 05, 2016","['Arvin', 'Camino', 'Tulare', 'Likely']","['Tulare', 'Lake']",Unsafe Water in California Public Schools - Community Water Center,https://www.communitywatercenter.org/unsafe_water_in_california_public_schools
" ""There were also pesticides, disinfectant by-products and nitrates.","May 05, 2016","['Arvin', 'Camino', 'Tulare', 'Likely']","['Tulare', 'Lake']",Unsafe Water in California Public Schools - Community Water Center,https://www.communitywatercenter.org/unsafe_water_in_california_public_schools
" 
“Bacterial and arsenic violations were the most common types of violations impacting schools, but they were also followed by the pesticide DBCP, disinfectant byproducts, and nitrates,”says lead author Jenny Rempel with the Community Water Center.","May 05, 2016","['Arvin', 'Camino', 'Tulare', 'Likely']","['Tulare', 'Lake']",Unsafe Water in California Public Schools - Community Water Center,https://www.communitywatercenter.org/unsafe_water_in_california_public_schools
" ""There were also pesticides, disinfectant by-products and nitrates.","May 05, 2016","['Arvin', 'Camino', 'Tulare', 'Likely']","['Tulare', 'Lake']",Unsafe Water in California Public Schools - Community Water Center,https://www.communitywatercenter.org/unsafe_water_in_california_public_schools
"
Bacterial and arsenic violations were the most common types of violations impacting schools, followed by the pesticide DBCP, disinfectant byproducts, and nitrates.","May 05, 2016",['Tulare'],"['Tulare', 'Lake']",Hundreds of California Schools Impacted by Unsafe Drinking Water - Community Water Center,https://www.communitywatercenter.org/hundreds_of_california_schools_impacted_by_unsafe_drinking_water
"
Bacterial and arsenic violations were the most common types of violations impacting schools, followed by the pesticide DBCP, disinfectant byproducts, and nitrates.","May 05, 2016",['Tulare'],"['Tulare', 'Lake']",Hundreds of California Schools Impacted by Unsafe Drinking Water - Community Water Center,https://www.communitywatercenter.org/hundreds_of_california_schools_impacted_by_unsafe_drinking_water
"
Bacterial and arsenic violations were the most common types of violations impacting schools, followed by the pesticide DBCP, disinfectant byproducts, and nitrates.","May 05, 2016",['Tulare'],"['Tulare', 'Lake']",Hundreds of California Schools Impacted by Unsafe Drinking Water - Community Water Center,https://www.communitywatercenter.org/hundreds_of_california_schools_impacted_by_unsafe_drinking_water
 Excess levels — as much as three times the federal health limit — of nitrates less than 20 miles away in Monson.,"May 05, 2016","['Tulare', 'Visalia', 'Madeline']","['Tulare', 'Nevada', 'Sierra']","Unknown, Unregulated, Undrinkable - Community Water Center",https://www.communitywatercenter.org/unknown_unregulated_undrinkable
 Excess levels — as much as three times the federal health limit — of nitrates less than 20 miles away in Monson.,"May 05, 2016","['Tulare', 'Visalia', 'Madeline']","['Tulare', 'Nevada', 'Sierra']","Unknown, Unregulated, Undrinkable - Community Water Center",https://www.communitywatercenter.org/unknown_unregulated_undrinkable
"
Events include in-person community meetings about nitrate contamination, 1,2,3 - TCP contamination and how to get involved in water justice work in South Kern County.","April 13, 2016",[],['Kern'],National Drinking Water Week Calendar - Community Water Center,https://www.communitywatercenter.org/national_drinking_water_week_calendar
" 
Arvin has violated federal drinking water standards for arsenic for over a decade, and according to the California Annual Compliance Report for Public Water Systems, over one million Californians are impacted by unsafe drinking water each year.","April 08, 2016","['Arvin', 'Lamont', 'Weedpatch']",['Kern'],Agua4All Community Rally and Celebration a Success! - Community Water Center,https://www.communitywatercenter.org/agua4all_celebration
"Throughout California, groundwater nitrate contamination from agriculture is costing families, local governments and the state tens of millions of dollars a year.","March 31, 2016","['Tulare', 'Salinas']","['Tulare', 'Lake']",State Takes Step to Better Regulate Agricultural Pollution of Groundwater,https://www.communitywatercenter.org/new_ag_order
" As an acute contaminant, nitrate poses great health risks to communities, especially to pregnant women and young babies.","March 31, 2016","['Tulare', 'Salinas']","['Tulare', 'Lake']",State Takes Step to Better Regulate Agricultural Pollution of Groundwater,https://www.communitywatercenter.org/new_ag_order
 This order has the potential to set the state on track to reduce nitrate pollution from agriculture.,"March 31, 2016","['Tulare', 'Salinas']","['Tulare', 'Lake']",State Takes Step to Better Regulate Agricultural Pollution of Groundwater,https://www.communitywatercenter.org/new_ag_order
" However, as currently designed, the ILRP does not provide the field-level data that is vital to measuring and regulating nitrate pollution from agriculture.","March 31, 2016","['Tulare', 'Salinas']","['Tulare', 'Lake']",State Takes Step to Better Regulate Agricultural Pollution of Groundwater,https://www.communitywatercenter.org/new_ag_order
" The new draft order allows the data that farmers are already reporting to be available to the public so that the state, researchers, and communities can understand the dynamics of nitrate use.","March 31, 2016","['Tulare', 'Salinas']","['Tulare', 'Lake']",State Takes Step to Better Regulate Agricultural Pollution of Groundwater,https://www.communitywatercenter.org/new_ag_order
" Unless we prevent ongoing contamination, by 2050, nearly 80 percent of the residents in the Tulare Lake Basin and Salinas Valley will be impacted by nitrate-contaminated drinking water.","March 31, 2016","['Tulare', 'Salinas']","['Tulare', 'Lake']",State Takes Step to Better Regulate Agricultural Pollution of Groundwater,https://www.communitywatercenter.org/new_ag_order
" And to ensure a livable future for residents of our state's agricultural regions, where hundreds if not thousands of wells have had to be closed due to nitrate pollution, creating an extra financial burden on our communities.","March 31, 2016","['Tulare', 'Salinas']","['Tulare', 'Lake']",State Takes Step to Better Regulate Agricultural Pollution of Groundwater,https://www.communitywatercenter.org/new_ag_order
"
CWC and our allies across the state are analyzing the draft general order and have spoken before the California Department of Food and Agriculture about the need for adequate data and transparency to understand nitrate pollution and work toward solutions.","March 31, 2016","['Tulare', 'Salinas']","['Tulare', 'Lake']",State Takes Step to Better Regulate Agricultural Pollution of Groundwater,https://www.communitywatercenter.org/new_ag_order
" And many suffer as they did before the drought, enduring unsafe levels of nitrate and arsenic in their tap water.","February 25, 2016",['Tulare'],['Tulare'],"Laurel Firestone Among 20 Top Water Leaders to Contribute to New Book, Water: More or Less",https://www.communitywatercenter.org/new_book_water_more_or_less
" And many suffer as they did before the drought, enduring unsafe levels of nitrate and arsenic in their tap water.","February 25, 2016",['Tulare'],['Tulare'],"Laurel Firestone Among 20 Top Water Leaders to Contribute to New Book, Water: More or Less",https://www.communitywatercenter.org/new_book_water_more_or_less
" She has seen first hand how contaminants such as nitrates and 123 TCP from agricultural and industrial practices affect the well-being of the workers and the residents of the small, rural communities throughout the Valley.","February 24, 2016","['Martinez', 'Ruth', 'Delano']",['Sierra'],Honoring the 2016 Water Justice Leaders!  - Community Water Center,https://www.communitywatercenter.org/honoring_2016_water_justice_leaders
" She has seen first hand how contaminants such as nitrates and 123 TCP from agricultural and industrial practices affect the well-being of the workers and the residents of the small, rural communities throughout the Valley.","February 24, 2016","['Martinez', 'Ruth', 'Delano']",['Sierra'],Honoring the 2016 Water Justice Leaders!  - Community Water Center,https://www.communitywatercenter.org/honoring_2016_water_justice_leaders
 She spoke of the well that her community has been forced to close due to nitrate contamination and of the fear that contaminated water will once again come from her faucet given Poplar's extreme vulnerability to nitrate contamination.,"February 22, 2016",[],['Sierra'],State Water Board Adopts Human Right to Water Resolution! - Community Water Center,https://www.communitywatercenter.org/state_water_board_adopts_resolution
" Unlike other water contaminants such as nitrate and arsenic, the origins of 123 TCP are clear, the responsible parties are known, and these parties have the ability to pay for treatment.","January 12, 2016",[],[],CWC Kicks Off 2016 Campaign to Protect Drinking Water From Dangerous Contaminant 123 TCP,https://www.communitywatercenter.org/cwc_kicks_off_2016_123tcp_campaign
" Unlike other water contaminants such as nitrate and arsenic, the origins of 123 TCP are clear, the responsible parties are known, and these parties have the ability to pay for treatment.","January 12, 2016",[],[],CWC Kicks Off 2016 Campaign to Protect Drinking Water From Dangerous Contaminant 123 TCP,https://www.communitywatercenter.org/cwc_kicks_off_2016_123tcp_campaign
"The community of Arvin, which has had unsafe arsenic contamination for over a decade, is now on track to have safe water by the end of 2019.","December 03, 2015",['Arvin'],[],Arvin Signs Administrative Order with EPA and Establishes New Timeline for Securing Safe Water - Community Water Center,https://www.communitywatercenter.org/arvin_signs_administrative_order
" Six of the community’s seven wells currently exceed arsenic standards, which led to enforcement action from USEPA Region 9 starting in 2008.","December 03, 2015",['Arvin'],[],Arvin Signs Administrative Order with EPA and Establishes New Timeline for Securing Safe Water - Community Water Center,https://www.communitywatercenter.org/arvin_signs_administrative_order
" This new CWC program helps Californians understand if they have health-harming pollutants like arsenic, uranium, bacteria, or pesticide byproducts in their well water.","November 11, 2015",['Tulare'],"['Kern', 'Tulare']",CWC Launches Private Well Testing Program - Community Water Center,https://www.communitywatercenter.org/well_testing
"
As a result of this program, Cristobal Chavez just discovered that his household well is contaminated with nitrates at more than three times the legal limit.","November 11, 2015",['Tulare'],"['Kern', 'Tulare']",CWC Launches Private Well Testing Program - Community Water Center,https://www.communitywatercenter.org/well_testing
"
As a result of this program, Cristobal Chavez just discovered that his household well is contaminated with nitrates at more than three times the legal limit.","November 11, 2015",['Tulare'],"['Kern', 'Tulare']",CWC Launches Private Well Testing Program - Community Water Center,https://www.communitywatercenter.org/well_testing
" Right now, the biggest problem is naturally occurring arsenic, exacerbated by an ever-shrinking volume of groundwater—partly a result of excessive pumping by farmers in the midst of California’s record-breaking drought.","October 09, 2015","['Fresno', 'Farmersville', 'Riverdale', 'Lanare', 'Tulare']","['Tulare', 'Fresno']",Why California's Poorest Towns Still Can't Connect to Water - Community Water Center,https://www.communitywatercenter.org/californias_poorest_towns_water
" Since the system’s arsenic levels exceed EPA limits, Pratt Mutual is legally obligated to resolve the issue.","October 09, 2015","['Fresno', 'Farmersville', 'Riverdale', 'Lanare', 'Tulare']","['Tulare', 'Fresno']",Why California's Poorest Towns Still Can't Connect to Water - Community Water Center,https://www.communitywatercenter.org/californias_poorest_towns_water
 Their water system is tainted with arsenic.,"October 09, 2015","['Fresno', 'Farmersville', 'Riverdale', 'Lanare', 'Tulare']","['Tulare', 'Fresno']",Why California's Poorest Towns Still Can't Connect to Water - Community Water Center,https://www.communitywatercenter.org/californias_poorest_towns_water
"
Riverdale, the somewhat wealthier, whiter town next door, is also unincorporated, and has also had its share of arsenic spikes.","October 09, 2015","['Fresno', 'Farmersville', 'Riverdale', 'Lanare', 'Tulare']","['Tulare', 'Fresno']",Why California's Poorest Towns Still Can't Connect to Water - Community Water Center,https://www.communitywatercenter.org/californias_poorest_towns_water
" But Lanare’s debts, incurred by a mismanaged, disused arsenic treatment plant the community took a risk on years back, seem to be too much of a threat.","October 09, 2015","['Fresno', 'Farmersville', 'Riverdale', 'Lanare', 'Tulare']","['Tulare', 'Fresno']",Why California's Poorest Towns Still Can't Connect to Water - Community Water Center,https://www.communitywatercenter.org/californias_poorest_towns_water
 There are nitrates and arsenic in the water that have no smell.,"September 06, 2015","['Tulare', 'Alta']","['Tulare', 'Lake']",10 Questions: Susana De Anda - Community Water Center,https://www.communitywatercenter.org/10_questions_susana
 There are nitrates and arsenic in the water that have no smell.,"September 06, 2015","['Tulare', 'Alta']","['Tulare', 'Lake']",10 Questions: Susana De Anda - Community Water Center,https://www.communitywatercenter.org/10_questions_susana
 There are nitrates and arsenic in the water that have no smell.,"September 06, 2015","['Tulare', 'Alta']","['Tulare', 'Lake']",10 Questions: Susana De Anda - Community Water Center,https://www.communitywatercenter.org/10_questions_susana
" These small, unincorporated communities have struggled to provide safe drinking water to their residents, because the region’s groundwater is contaminated with high levels of nitrates and the pesticide DBCP.","July 30, 2015","['Tulare', 'Alta', 'Cutler', 'Yettem']",['Tulare'],Seven Communities Join Forces for Lasting Water Solutions - Community Water Center,https://www.communitywatercenter.org/seven_communities_water_solutions
" These small, unincorporated communities have struggled to provide safe drinking water to their residents, because the region’s groundwater is contaminated with high levels of nitrates and the pesticide DBCP.","July 30, 2015","['Tulare', 'Alta', 'Cutler', 'Yettem']",['Tulare'],Seven Communities Join Forces for Lasting Water Solutions - Community Water Center,https://www.communitywatercenter.org/seven_communities_water_solutions
"
Residents of Arvin have been impacted by arsenic-contaminated water for over a decade.","July 20, 2015","['Arvin', 'Lamont']",['Kern'],CWC Opens New Office in South Kern! - Community Water Center,https://www.communitywatercenter.org/cwc_opens_office_south_kern
 This fund could be derived from a fertilizer fee at the rate of state sales tax to address nitrate contamination.,"July 10, 2015",[],[],Toward Water Conservation and Water Affordability - Community Water Center,https://www.communitywatercenter.org/conservation_pricing
"
In June of last year, Tulare County officials issued a warning to residents not to drink the water from their taps because testing showed it contained nitrates at higher than maximum levels allowed by law.","July 01, 2015","['Tulare', 'Visalia', 'Yettem', 'Seville']",['Tulare'],County buying land for Yettem-Seville well - Community Water Center,https://www.communitywatercenter.org/county_yettem_seville_well
"
In June of last year, Tulare County officials issued a warning to residents not to drink the water from their taps because testing showed it contained nitrates at higher than maximum levels allowed by law.","July 01, 2015","['Tulare', 'Visalia', 'Yettem', 'Seville']",['Tulare'],County buying land for Yettem-Seville well - Community Water Center,https://www.communitywatercenter.org/county_yettem_seville_well
"




Ores said the information in the well logs will also be helpful in areas where communities are looking for new water sources and where portions of the groundwater are tainted with hazardous contaminants such as nitrates or arsenic.","June 29, 2015\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Sacramento'],['Sacramento'],California well drilling records to be made public - Community Water Center,https://www.communitywatercenter.org/california_well_records_public
"




Ores said the information in the well logs will also be helpful in areas where communities are looking for new water sources and where portions of the groundwater are tainted with hazardous contaminants such as nitrates or arsenic.","June 29, 2015\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Sacramento'],['Sacramento'],California well drilling records to be made public - Community Water Center,https://www.communitywatercenter.org/california_well_records_public
"




Ores said the information in the well logs will also be helpful in areas where communities are looking for new water sources and where portions of the groundwater are tainted with hazardous contaminants such as nitrates or arsenic.","June 29, 2015\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Sacramento'],['Sacramento'],California well drilling records to be made public - Community Water Center,https://www.communitywatercenter.org/california_well_records_public
" Nearly every public well in the city has high levels of arsenic, a drinking water contaminant that can cause cancer, reduced mental functioning in children, and Type 2 Diabetes.","June 20, 2015","['Arvin', 'Vista']","['Kern', 'Sierra']",Arvin Safe Water Program Unveils First Safe Drinking Water Fountains in Schools - Community Water Center,https://www.communitywatercenter.org/arvin_safe_drinking_fountains_schools
"
An innovative partnership between the Community Water Center, Rural Community Assistance Corporation, the State Water Resources Control Board, The California Endowment, and Helping Hands for Water is installing water fountains and bottle filling stations with point-of-use treatment systems specifically designed to remove arsenic from the water.","June 20, 2015","['Arvin', 'Vista']","['Kern', 'Sierra']",Arvin Safe Water Program Unveils First Safe Drinking Water Fountains in Schools - Community Water Center,https://www.communitywatercenter.org/arvin_safe_drinking_fountains_schools
 Local community leaders lead a walking tour of the fountains to demonstrate the arsenic treatment systems.,"June 20, 2015","['Arvin', 'Vista']","['Kern', 'Sierra']",Arvin Safe Water Program Unveils First Safe Drinking Water Fountains in Schools - Community Water Center,https://www.communitywatercenter.org/arvin_safe_drinking_fountains_schools
" Many small water systems serving disadvantaged communities lack the capacity and infrastructure to reliably deliver safe water, exposing families to arsenic, nitrates and other contaminants.","June 19, 2015",[],[],"Assembly, Senate Approve Landmark Drought Consolidation Bills - Community Water Center",https://www.communitywatercenter.org/drought_consolidation
"
Isabel Solorio, a resident of Lanare, an unincorporated community that has long struggled with arsenic in its drinking water, celebrated passage of the measures today: “One way or another, we need to do something.","June 19, 2015",[],[],"Assembly, Senate Approve Landmark Drought Consolidation Bills - Community Water Center",https://www.communitywatercenter.org/drought_consolidation
" Many small water systems serving disadvantaged communities lack the capacity and infrastructure to reliably deliver safe water, exposing families to arsenic, nitrates and other contaminants.","June 19, 2015",[],[],"Assembly, Senate Approve Landmark Drought Consolidation Bills - Community Water Center",https://www.communitywatercenter.org/drought_consolidation
" Many small water systems serving disadvantaged communities lack the capacity and infrastructure to reliably deliver safe water, exposing families to arsenic, nitrates and other contaminants.","June 19, 2015",[],[],"Assembly, Senate Approve Landmark Drought Consolidation Bills - Community Water Center",https://www.communitywatercenter.org/drought_consolidation
" The County recently signed a Governance Study contract to evaluate region-wide governance solutions to address the area’s drinking water challenges, which include groundwater contaminated with high levels of nitrates and the pesticide DBCP.","June 05, 2015","['Tulare', 'Alta', 'Cutler']",['Tulare'],Momentum Builds as Northern Tulare County Residents Collaborate for Regional Solutions - Community Water Center,https://www.communitywatercenter.org/northern_tulare_county_updates
" The County recently signed a Governance Study contract to evaluate region-wide governance solutions to address the area’s drinking water challenges, which include groundwater contaminated with high levels of nitrates and the pesticide DBCP.","June 05, 2015","['Tulare', 'Alta', 'Cutler']",['Tulare'],Momentum Builds as Northern Tulare County Residents Collaborate for Regional Solutions - Community Water Center,https://www.communitywatercenter.org/northern_tulare_county_updates
"Residents of Arvin, CA, have been impacted by arsenic-contaminated water for over a decade.","April 30, 2015",['Arvin'],[],Interim Drinking Water Solutions in Arvin - Community Water Center,https://www.communitywatercenter.org/interim_solutions_in_arvin
 Each of the community's five wells exceeds drinking water standards set by the federal EPA for arsenic.,"April 30, 2015",['Arvin'],[],Interim Drinking Water Solutions in Arvin - Community Water Center,https://www.communitywatercenter.org/interim_solutions_in_arvin
Jerry Tinoco discusses Arvin's long-standing problem of arsenic contamination and the financial challenges for many Arvin residents of acquiring adequate water filters.,"April 16, 2015",['Arvin'],[],CWC's Jerry Tinoco Discusses Arsenic Contamination in Arvin on KERO Bakersfield - Community Water Center,https://www.communitywatercenter.org/jerry_arsenic_contamination_in_arvin_k_kero
"
Drought or no drought, residents of this rural community can’t drink water from the tap and can’t even use it for cooking because high levels of arsenic — known to cause cancer — become even more concentrated when water is boiled.","April 06, 2015","['Arvin', 'Lamont', 'Coachella']",['Kern'],More than 1 million Californians don’t have reliable access to clean water - Community Water Center,https://www.communitywatercenter.org/more_than_1_million_californians
"
More than 100 areas with fewer than 10,000 people had arsenic violations.","April 06, 2015","['Arvin', 'Lamont', 'Coachella']",['Kern'],More than 1 million Californians don’t have reliable access to clean water - Community Water Center,https://www.communitywatercenter.org/more_than_1_million_californians
 Almost half of the residents affected were getting water that exceeded the acceptable level of arsenic.,"April 06, 2015","['Arvin', 'Lamont', 'Coachella']",['Kern'],More than 1 million Californians don’t have reliable access to clean water - Community Water Center,https://www.communitywatercenter.org/more_than_1_million_californians
"
The bill helped launch the current effort to provide “point-of-use water treatment systems” that remove arsenic from the water at drinking fountains in poor communities.","April 06, 2015","['Arvin', 'Lamont', 'Coachella']",['Kern'],More than 1 million Californians don’t have reliable access to clean water - Community Water Center,https://www.communitywatercenter.org/more_than_1_million_californians
"
“We’re drilling new wells that have no arsenic,” he said, keeping his fingers crossed.","April 06, 2015","['Arvin', 'Lamont', 'Coachella']",['Kern'],More than 1 million Californians don’t have reliable access to clean water - Community Water Center,https://www.communitywatercenter.org/more_than_1_million_californians
"
That’s because when two wells are drilled in the next two years, they may or may not produce arsenic-free water.","April 06, 2015","['Arvin', 'Lamont', 'Coachella']",['Kern'],More than 1 million Californians don’t have reliable access to clean water - Community Water Center,https://www.communitywatercenter.org/more_than_1_million_californians
" If they’re not, the city will have to build two centralized arsenic treatment plants.","April 06, 2015","['Arvin', 'Lamont', 'Coachella']",['Kern'],More than 1 million Californians don’t have reliable access to clean water - Community Water Center,https://www.communitywatercenter.org/more_than_1_million_californians
 He also warns them that boiling the water will not help with the arsenic problem.,"April 06, 2015","['Arvin', 'Lamont', 'Coachella']",['Kern'],More than 1 million Californians don’t have reliable access to clean water - Community Water Center,https://www.communitywatercenter.org/more_than_1_million_californians
"Denise Kadara was recently appointed to the Central Valley Regional Water Quality Control Board! She brings her perspective and insights as a resident of Allensworth, where the community’s water supply is contaminated with arsenic.","February 06, 2015",[],[],Denise Kadara appointed to the Central Valley Regional Water Quality Control Board! - Community Water Center,https://www.communitywatercenter.org/denise_kadara_was_appointed_to_the_central_valley_regional_water_quality_control_board
"""
The groundwater in southern Kern County contains troubling levels of arsenic, which is known to cause cancer.","February 03, 2015","['Arvin', 'Lamont', 'Coachella', 'Bakersfield']",['Kern'],Coalition brings clean drinking water to rural Kern County - Community Water Center,https://www.communitywatercenter.org/coalition_kern_county
" Some arsenic occurs naturally, but agricultural practices in rural areas may contribute to further contamination, said Annalisa Robles, program manager for the California Endowment.","February 03, 2015","['Arvin', 'Lamont', 'Coachella', 'Bakersfield']",['Kern'],Coalition brings clean drinking water to rural Kern County - Community Water Center,https://www.communitywatercenter.org/coalition_kern_county
" Kaiser's team found that every single one had contaminant-level violations at some point over the last 12 years, including traces of bacteria, arsenic, and disinfection byproducts.","January 14, 2015",['Davis'],[],"In California's Poorest Towns, Tap Water's Legacy Is Toxic for Latinos - Community Water Center",https://www.communitywatercenter.org/in_california_s_poorest_towns_tap_water_s_legacy_is_toxic_for_latinos
